V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,subj_idx,epoch,item_number,rt,has_answered,image_more_rewarded,rt_choice,feedback,image_chosen,intertrial_delay,img_1_position,img_2_position,total_feedback,trial,subj_code_1,Task2noRev_n_1,context_1,control_1,post_context_1,coin,TIME_start,TIME_end,TIME_total
epoc1,prltask2,4,2500,1,image1_rewarded8,997,2,1,500,-230,230,18,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,epoc1,4,2500,1,image1_rewarded8,997,0,1,500,-230,230,18,11,3493404335,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,15,3,0,21,2023-06-27-20-57,2023-06-27-21-03,6
epoc1,prltask1,3,2902,1,image1_rewarded8,1576,2,2,650,230,-230,17,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,epoc1,3,2902,1,image1_rewarded8,1576,0,2,650,230,-230,17,12,3493404335,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,15,3,0,21,2023-06-27-20-57,2023-06-27-21-03,6
epoc1,prltask1,3,3512,1,image1_rewarded8,681,1,1,650,-230,230,18,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,epoc1,3,3512,1,image1_rewarded8,681,1,1,650,-230,230,18,13,3493404335,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,15,3,0,21,2023-06-27-20-57,2023-06-27-21-03,6
epoc1,prltask1,4,3187,1,image1_rewarded8,797,1,1,950,-230,230,19,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,epoc1,4,3187,1,image1_rewarded8,797,1,1,950,-230,230,19,14,3493404335,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,15,3,0,21,2023-06-27-20-57,2023-06-27-21-03,6
epoc1,prltask2,4,3221,1,image1_rewarded8,441,1,2,800,-230,230,20,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,epoc1,4,3221,1,image1_rewarded8,441,1,2,800,-230,230,20,15,3493404335,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,15,3,0,21,2023-06-27-20-57,2023-06-27-21-03,6
epoc1,prltask1,3,2603,1,image1_rewarded8,630,2,2,800,-230,230,19,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,epoc1,3,2603,1,image1_rewarded8,630,0,2,800,-230,230,19,16,3493404335,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,15,3,0,21,2023-06-27-20-57,2023-06-27-21-03,6
epoc1,prltask2,3,2402,1,image1_rewarded8,990,2,1,950,-230,230,18,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,epoc1,3,2402,1,image1_rewarded8,990,0,1,950,-230,230,18,17,3493404335,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,15,3,0,21,2023-06-27-20-57,2023-06-27-21-03,6
epoc1,prltask2,4,3187,1,image1_rewarded8,808,1,2,1100,230,-230,19,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,epoc1,4,3187,1,image1_rewarded8,808,1,2,1100,230,-230,19,18,3493404335,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,15,3,0,21,2023-06-27-20-57,2023-06-27-21-03,6
epoc1,prltask1,3,2879,1,image1_rewarded8,807,2,2,800,230,-230,18,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,epoc1,3,2879,1,image1_rewarded8,807,0,2,800,230,-230,18,19,3493404335,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,15,3,0,21,2023-06-27-20-57,2023-06-27-21-03,6
epoc1,prltask1,3,2961,1,image1_rewarded8,1627,2,2,800,-230,230,17,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,epoc1,3,2961,1,image1_rewarded8,1627,0,2,800,-230,230,17,20,3493404335,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,15,3,0,21,2023-06-27-20-57,2023-06-27-21-03,6
epoc1,prltask2,3,2701,1,image1_rewarded8,629,2,1,950,230,-230,16,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,epoc1,3,2701,1,image1_rewarded8,629,0,1,950,230,-230,16,21,3493404335,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,15,3,0,21,2023-06-27-20-57,2023-06-27-21-03,6
epoc1,prltask1,3,5250,1,image1_rewarded8,712,2,2,650,230,-230,15,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,epoc1,3,5250,1,image1_rewarded8,712,0,2,650,230,-230,15,22,3493404335,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,15,3,0,21,2023-06-27-20-57,2023-06-27-21-03,6
